pool_size,actual_pool_size,tasks,repeats,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n,top1_accuracy_std_across_queries,hit@3_std_across_queries,hit@5_std_across_queries,hit@10_std_across_queries,recall@3_std_across_queries,recall@5_std_across_queries,recall@10_std_across_queries,mrr@10_std_across_queries,ndcg@10_std_across_queries
10,10,87,20,0.964367816091954,0.996551724137931,0.9994252873563219,1.0,0.8512192118226601,0.9611986863711002,1.0,0.980287356321839,0.9701812183017551,1740,0.18537133375468054,0.05862068965517241,0.023966275243670163,0.0,0.2115808329163704,0.10085271520798911,0.0,0.10409087875817102,0.07965720463177102
50,50,87,20,0.9074712643678161,0.9764367816091954,0.985632183908046,0.9942528735632183,0.7699726327312534,0.8459414340448823,0.9088136288998357,0.942126892902755,0.876802266712436,1740,0.2897708900398612,0.151683859160663,0.11900160483246354,0.07559164619520635,0.269143843624774,0.23002035289096642,0.18265201020377914,0.18759250137732444,0.1868645585681495
100,100,87,20,0.8798850574712643,0.9580459770114943,0.9758620689655172,0.9885057471264368,0.7356472359058566,0.8149151614668856,0.8697660098522167,0.9213704159824849,0.8404137349702885,1740,0.3250958983285612,0.20048412142507865,0.1534773316156406,0.1065933160401805,0.2925058057136066,0.2537461680610789,0.21772558766915814,0.22106062136970928,0.21901973173639605
500,500,87,20,0.7735632183908046,0.9017241379310345,0.9287356321839081,0.9505747126436782,0.6511206896551724,0.723656267104543,0.7884756431308155,0.8419179894179895,0.7478826253538258,1740,0.4185249879561135,0.29768728055388455,0.2572659279731086,0.21675430405430673,0.3430622386526985,0.31850684504155724,0.2889680828790359,0.307468218601919,0.2894573759478034
1000,1000,87,20,0.7304597701149426,0.8632183908045977,0.9017241379310345,0.9339080459770115,0.6109304871373837,0.6856869184455391,0.7518295019157089,0.8017008757525999,0.7037756539069652,1740,0.4437209645245172,0.3436166477068865,0.29768728055388455,0.2484427653130831,0.36201601729581134,0.3417995140315838,0.3140475789070239,0.3413098693166046,0.31138517176573827
5000,5000,87,20,0.5982758620689655,0.7241379310344828,0.7758620689655172,0.8580459770114942,0.48093322386425835,0.5513273125342091,0.6511713191023536,0.677063492063492,0.5759173403109484,1740,0.4902467286322283,0.44694763437295587,0.41701333180854566,0.34900297756019866,0.3912211040428864,0.3893388561070436,0.3662788810475923,0.4118223963829403,0.3461292673146983
10000,10000,87,20,0.539080459770115,0.6706896551724137,0.7097701149425287,0.7919540229885057,0.4281581828133552,0.4800561029009305,0.5815106732348112,0.6190665480751688,0.5126705128544126,1740,0.4984703779204502,0.46996280875950436,0.45386837175220557,0.40590990190044274,0.3918351370458324,0.39586495333994187,0.38700038955923,0.4333003235495086,0.35835788274392116
full,34396,87,1,0.41379310344827586,0.5862068965517241,0.6436781609195402,0.6666666666666666,0.3594143404488232,0.4009852216748768,0.4492610837438424,0.5074074074074074,0.4058442518172424,87,0.4925123054167483,0.4925123054167483,0.47891187714941746,0.4714045207910317,0.379974955045118,0.3831405328778456,0.40100843611231635,0.4418672618252976,0.3631171384504621
