condition,n,reciprocal_relevance_rank,reciprocal_relevance_rank_std,top10_relevant,top100_relevant,found_rate
no_skill,261,0.0,0.0,0.0,0.0,0.0
gold_skill,261,0.17097225924727574,0.3013885489683352,0.2988505747126437,0.5057471264367817,0.8045977011494253
retrieved_top1_full,261,0.11756072223293816,0.2751766076524088,0.19540229885057472,0.367816091954023,0.632183908045977
hard_distractor,261,0.017697065555337465,0.1094505489552473,0.04597701149425287,0.06896551724137931,0.28735632183908044
random_wrong,261,0.00029750872068668544,0.0018475656788785398,0.0,0.011494252873563218,0.04597701149425287
retrieved_top1_full__correct,108,0.19969913625803218,0.3431299850694177,0.3055555555555556,0.5,0.8055555555555556
retrieved_top1_full__wrong,153,0.059580665274048275,0.19478121194300077,0.11764705882352941,0.27450980392156865,0.5098039215686274
