task,distractor_type,pool_size,actual_pool_size,repeat,gold_count,distractor_count,hard_negative_count,hard_negative_purity,fallback_distractors,returned_count,positive_score_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
3d-scan-calc,random,50,50,0,1,49,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,random,50,50,0,5,45,0,0.0,0,10,12,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9708923176105698,1
azure-bgp-oscillation-route-leak,random,50,50,0,1,49,0,0.0,0,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,random,50,50,0,4,46,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,random,50,50,0,1,49,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,random,50,50,0,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,random,50,50,0,2,48,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
data-to-d3,random,50,50,0,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,random,50,50,0,1,49,0,0.0,0,10,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,random,50,50,0,4,46,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,random,50,50,0,4,46,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9447176050778178,1
earthquake-plate-calculation,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,random,50,50,0,3,47,0,0.0,0,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,random,50,50,0,4,46,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,random,50,50,0,1,49,0,0.0,0,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,random,50,50,0,2,48,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8315546295836225,1
exoplanet-detection-period,random,50,50,0,5,45,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,random,50,50,0,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
find-topk-similiar-chemicals,random,50,50,0,3,47,0,0.0,0,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9066276098484507,1
fix-build-agentops,random,50,50,0,4,46,0,0.0,0,10,11,0.0,1.0,1.0,1.0,0.5,0.75,0.75,0.5,0.6096199500078984,2
fix-build-google-auto,random,50,50,0,3,47,0,0.0,0,10,10,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9217868789962071,1
fix-druid-loophole-cve,random,50,50,0,2,48,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8175295903539445,1
fix-erlang-ssh-cve,random,50,50,0,6,44,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,0.7316362001126299,1
fix-visual-stability,random,50,50,0,3,47,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
flink-query,random,50,50,0,2,48,0,0.0,0,10,2,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
flood-risk-analysis,random,50,50,0,3,47,0,0.0,0,10,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,random,50,50,0,1,49,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,random,50,50,0,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,random,50,50,0,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,random,50,50,0,3,47,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,random,50,50,0,5,45,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1.0,0.9318171001351273,1
invoice-fraud-detection,random,50,50,0,3,47,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
jax-computing-basics,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,random,50,50,0,5,45,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
lab-unit-harmonization,random,50,50,0,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,random,50,50,0,4,46,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
latex-formula-extraction,random,50,50,0,2,48,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lean4-proof,random,50,50,0,2,48,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,random,50,50,0,1,49,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,random,50,50,0,2,48,0,0.0,0,10,10,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.6052602440527057,2
manufacturing-fjsp-optimization,random,50,50,0,1,49,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,random,50,50,0,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,random,50,50,0,3,47,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,random,50,50,0,3,47,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745,1
multilingual-video-dubbing,random,50,50,0,6,44,0,0.0,0,10,17,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.9876712785649565,1
offer-letter-generator,random,50,50,0,1,49,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,random,50,50,0,5,45,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
paper-anonymizer,random,50,50,0,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,random,50,50,0,3,47,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.86034433104172,1
pddl-tpp-planning,random,50,50,0,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,random,50,50,0,2,48,0,0.0,0,10,2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.7903864795495061,1
pedestrian-traffic-counting,random,50,50,0,4,46,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,random,50,50,0,4,46,0,0.0,0,10,17,0.0,1.0,1.0,1.0,0.5,0.75,1.0,0.5,0.7486761295186739,2
powerlifting-coef-calc,random,50,50,0,3,47,0,0.0,0,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,random,50,50,0,1,49,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,random,50,50,0,6,44,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,random,50,50,0,1,49,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,random,50,50,0,4,46,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,random,50,50,0,2,48,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
reserves-at-risk-calc,random,50,50,0,1,49,0,0.0,0,10,7,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,4
sales-pivot-analysis,random,50,50,0,2,48,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,random,50,50,0,2,48,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,random,50,50,0,2,48,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,random,50,50,0,4,46,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,random,50,50,0,3,47,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6508205185601091,1
shock-analysis-demand,random,50,50,0,1,49,0,0.0,0,10,8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,4
shock-analysis-supply,random,50,50,0,1,49,0,0.0,0,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,random,50,50,0,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,random,50,50,0,3,47,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
speaker-diarization-subtitles,random,50,50,0,4,46,0,0.0,0,10,18,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.7606395682357036,2
spring-boot-jakarta-migration,random,50,50,0,5,45,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,random,50,50,0,3,47,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041,1
syzkaller-ppdev-syzlang,random,50,50,0,3,47,0,0.0,0,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,random,50,50,0,1,49,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,random,50,50,0,2,48,0,0.0,0,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,random,50,50,0,2,48,0,0.0,0,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,random,50,50,0,6,44,0,0.0,0,10,10,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.8357173251870647,1
trend-anomaly-causal-inference,random,50,50,0,4,46,0,0.0,0,10,12,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,random,50,50,0,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,random,50,50,0,7,43,0,0.0,0,10,13,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.9083745556952365,1
video-tutorial-indexer,random,50,50,0,1,49,0,0.0,0,10,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,random,50,50,0,1,49,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,random,50,50,0,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,random,50,50,0,2,48,0,0.0,0,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3d-scan-calc,random,50,50,1,1,49,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,random,50,50,1,5,45,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9896062251871525,1
azure-bgp-oscillation-route-leak,random,50,50,1,1,49,0,0.0,0,10,9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
citation-check,random,50,50,1,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,random,50,50,1,4,46,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
court-form-filling,random,50,50,1,1,49,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,random,50,50,1,2,48,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,random,50,50,1,2,48,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
data-to-d3,random,50,50,1,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,random,50,50,1,1,49,0,0.0,0,10,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,random,50,50,1,4,46,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,random,50,50,1,4,46,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,random,50,50,1,1,49,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,random,50,50,1,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,random,50,50,1,3,47,0,0.0,0,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,random,50,50,1,4,46,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9550236580992476,1
enterprise-information-search,random,50,50,1,1,49,0,0.0,0,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,random,50,50,1,2,48,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
exoplanet-detection-period,random,50,50,1,5,45,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,random,50,50,1,2,48,0,0.0,0,10,10,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
find-topk-similiar-chemicals,random,50,50,1,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,random,50,50,1,4,46,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
fix-build-google-auto,random,50,50,1,3,47,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239,1
fix-druid-loophole-cve,random,50,50,1,2,48,0,0.0,0,10,6,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6240505200038379,2
fix-erlang-ssh-cve,random,50,50,1,6,44,0,0.0,0,10,12,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,0.7183750273402228,1
fix-visual-stability,random,50,50,1,3,47,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8451850618939637,1
flink-query,random,50,50,1,2,48,0,0.0,0,10,3,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,3
flood-risk-analysis,random,50,50,1,3,47,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
gh-repo-analytics,random,50,50,1,1,49,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,random,50,50,1,3,47,0,0.0,0,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,random,50,50,1,2,48,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,random,50,50,1,3,47,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,random,50,50,1,5,45,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.6,0.6,0.6,1.0,0.7227265726449519,1
invoice-fraud-detection,random,50,50,1,3,47,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745,1
jax-computing-basics,random,50,50,1,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,random,50,50,1,5,45,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.2,0.4,0.4,1.0,0.4703652827859579,1
lab-unit-harmonization,random,50,50,1,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,random,50,50,1,4,46,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.25,0.25,0.75,1.0,0.6525874238732422,1
latex-formula-extraction,random,50,50,1,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lean4-proof,random,50,50,1,2,48,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,random,50,50,1,1,49,0,0.0,0,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,random,50,50,1,2,48,0,0.0,0,10,14,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.6052602440527057,2
manufacturing-fjsp-optimization,random,50,50,1,1,49,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,random,50,50,1,3,47,0,0.0,0,10,2,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,random,50,50,1,3,47,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,random,50,50,1,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
multilingual-video-dubbing,random,50,50,1,6,44,0,0.0,0,10,19,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.9930783166417604,1
offer-letter-generator,random,50,50,1,1,49,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,random,50,50,1,5,45,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
paper-anonymizer,random,50,50,1,2,48,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,random,50,50,1,3,47,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9060254355346823,1
pddl-tpp-planning,random,50,50,1,1,49,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,random,50,50,1,2,48,0,0.0,0,10,1,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.7903864795495061,1
pedestrian-traffic-counting,random,50,50,1,4,46,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,random,50,50,1,4,46,0,0.0,0,10,20,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,random,50,50,1,3,47,0,0.0,0,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9010126104210695,1
pptx-reference-formatting,random,50,50,1,1,49,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,random,50,50,1,1,49,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,random,50,50,1,6,44,0,0.0,0,10,10,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,random,50,50,1,1,49,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,random,50,50,1,4,46,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,random,50,50,1,2,48,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8315546295836225,1
reserves-at-risk-calc,random,50,50,1,1,49,0,0.0,0,10,10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
sales-pivot-analysis,random,50,50,1,2,48,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,random,50,50,1,2,48,0,0.0,0,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,random,50,50,1,2,48,0,0.0,0,10,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,random,50,50,1,4,46,0,0.0,0,10,5,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9447176050778178,1
setup-fuzzing-py,random,50,50,1,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041,1
shock-analysis-demand,random,50,50,1,1,49,0,0.0,0,10,6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,4
shock-analysis-supply,random,50,50,1,1,49,0,0.0,0,10,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333,7
simpo-code-reproduction,random,50,50,1,2,48,0,0.0,0,10,3,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,random,50,50,1,3,47,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745,1
speaker-diarization-subtitles,random,50,50,1,4,46,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9047172294870751,1
spring-boot-jakarta-migration,random,50,50,1,5,45,0,0.0,0,10,6,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,random,50,50,1,3,47,0,0.0,0,10,7,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,random,50,50,1,3,47,0,0.0,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,random,50,50,1,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,random,50,50,1,2,48,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,random,50,50,1,2,48,0,0.0,0,10,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,random,50,50,1,6,44,0,0.0,0,10,11,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,0.7675478300920818,1
trend-anomaly-causal-inference,random,50,50,1,4,46,0,0.0,0,10,8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,random,50,50,1,3,47,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,random,50,50,1,7,43,0,0.0,0,10,10,1.0,1.0,1.0,1.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.0,0.8936633189697702,1
video-tutorial-indexer,random,50,50,1,1,49,0,0.0,0,10,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,random,50,50,1,1,49,0,0.0,0,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,random,50,50,1,1,49,0,0.0,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,random,50,50,1,2,48,0,0.0,0,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3d-scan-calc,random,50,50,2,1,49,0,0.0,0,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,random,50,50,2,5,45,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9818483242455303,1
azure-bgp-oscillation-route-leak,random,50,50,2,1,49,0,0.0,0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,random,50,50,2,1,49,0,0.0,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,random,50,50,2,4,46,0,0.0,0,10,9,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
